regija,leto,Gross income - TOTAL,Income from work,"Parental, family and social benefits",Pensions,"Property, capital and other income",Employment rate,Employment rate for men,Employment rate for women,Natural increase,Net migration between statistical regions,Net migration from abroad,Total increase,Total increase per 1000 population,Emigrants to abroad - Men,Emigrants to abroad - Total,Emigrants to abroad - Women,Emigrants to abroad per 1000 population,Emigrants to other regions per 1000 population,Emigrants to other statistical regions - Men,Emigrants to other statistical regions - Total,Emigrants to other statistical regions - Women,Immigrants from abroad - Men,Immigrants from abroad - Total,Immigrants from abroad - Women,Immigrants from abroad per 1000 populationv,Immigrants from other regions per 1000 population,Immigrants from other statistical regions - Men,Immigrants from other statistical regions - Total,Immigrants from other statistical regions - Women,Net migration between statistical regions - Men,Net migration between statistical regions - Total,Net migration between statistical regions - Women,Net migration between statistical regions per 1000 population,Net migration from abroad - Men,Net migration from abroad - Total,Net migration from abroad - Women,Net migration from abroad per 1000 population,Total net migration - Men,Total net migration - Total,Total net migration - Women,Total net migration per 1000 population,Labour migration index,Labour migration index - men,Labour migration index - women,Persons in employment [excluding farmers] whose workplace is in the statistical region of their residence,Persons in employment [excluding farmers] whose workplace is in the statistical region of their residence - men,Persons in employment [excluding farmers] whose workplace is in the statistical region of their residence - women,Persons in employment [excluding farmers] whose workplace is not in the statistical region of their residence,Persons in employment [excluding farmers] whose workplace is not in the statistical region of their residence - men,Persons in employment [excluding farmers] whose workplace is not in the statistical region of their residence - women
slovenia,1994,,,,,,52.4,58.1,47.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slovenia,1995,,,,,,54.4,61,48.4,12,0,1415,1427,0.7,393,776,383,0.4,2.7,2453,5426,2973,1135,2191,1056,1.1,2.7,2453,5426,2973,0,0,0,0,742,1415,673,0.7,742,1415,673,0.7,,,,,,,,,
slovenia,1996,,,,,,53.4,59.6,47.7,168,0,697,865,0.4,390,803,413,0.4,2.9,2641,5742,3101,768,1500,732,0.8,2.9,2641,5742,3101,0,0,0,0,378,697,319,0.4,378,697,319,0.4,,,,,,,,,
slovenia,1997,,,,,,54.9,61.1,49.1,-763,0,286,-477,-0.2,443,807,364,0.4,2.9,2712,5798,3086,534,1093,559,0.6,2.9,2712,5798,3086,0,0,0,0,91,286,195,0.1,91,286,195,0.1,,,,,,,,,
slovenia,1998,,,,,,55.3,59.6,50.9,-1183,0,-2105,-3288,-1.7,5131,6708,1577,3.4,3,2684,5982,3298,2817,4603,1786,2.3,3,2684,5982,3298,0,0,0,0,-2314,-2105,209,-1.1,-2314,-2105,209,-1.1,,,,,,,,,
slovenia,1999,,,,,,55.8,60.3,51.2,-1352,0,2335,983,0.5,1732,2606,874,1.3,3.1,2782,6080,3298,3683,4941,1258,2.5,3.1,2782,6080,3298,0,0,0,0,1951,2335,384,1.2,1951,2335,384,1.2,,,,,,,,,
slovenia,2000,,,,,,57.4,62.3,52.4,-408,0,2615,2193,1.1,2376,3570,1194,1.8,3,2609,5881,3272,4397,6185,1788,3.1,3,2609,5881,3272,0,0,0,0,2021,2615,594,1.3,2021,2615,594,1.3,,,,,,,,,
slovenia,2001,,,,,,57.7,62.9,52.4,-1031,0,2992,1961,1,3503,4811,1308,2.4,3.2,2908,6364,3456,5321,7803,2482,3.9,3.2,2908,6364,3456,0,0,0,0,1818,2992,1174,1.5,1818,2992,1174,1.5,,,,,,,,,
slovenia,2002,,,,,,56,60.9,50.9,-1200,0,1865,665,0.3,4596,7269,2673,3.6,3.3,3068,6575,3507,6216,9134,2918,4.6,3.3,3068,6575,3507,0,0,0,0,1620,1865,245,0.9,1620,1865,245,0.9,,,,,,,,,
slovenia,2003,,,,,,55.4,60.4,50.2,-2130,0,3412,1282,0.6,3444,5867,2423,2.9,3.2,2786,6298,3512,6229,9279,3050,4.6,3.2,2786,6298,3512,0,0,0,0,2785,3412,627,1.7,2785,3412,627,1.7,,,,,,,,,
slovenia,2004,,,,,,55.7,60.7,50.5,-562,0,1902,1340,0.7,6061,8269,2208,4.1,3.3,2965,6595,3630,7485,10171,2686,5.1,3.3,2965,6595,3630,0,0,0,0,1424,1902,478,1,1424,1902,478,1,,,,,,,,,
slovenia,2005,,,,,,57.8,63.3,52.2,-668,0,6436,5768,2.9,6659,8605,1946,4.3,3.5,3188,7004,3816,11130,15041,3911,7.5,3.5,3188,7004,3816,0,0,0,0,4471,6436,1965,3.2,4471,6436,1965,3.2,,,,,,,,,
slovenia,2006,,,,,,58.5,64.2,52.6,752,0,6267,7019,3.5,10725,13749,3024,6.8,4.2,3923,8499,4576,15750,20016,4266,10,4.2,3923,8499,4576,0,0,0,0,5025,6267,1242,3.1,5025,6267,1242,3.1,,,,,,,,,
slovenia,2007,,,,,,60.5,66.6,54.1,1239,0,14250,15489,7.7,10696,14943,4247,7.4,4.4,4123,8880,4757,23659,29193,5534,14.5,4.4,4123,8880,4757,0,0,0,0,12963,14250,1287,7.1,12963,14250,1287,7.1,,,,,,,,,
slovenia,2008,,,,,,61.9,68,55.5,3509,0,18584,22093,10.9,8190,12109,3919,6,23.5,23071,47605,24534,23815,30693,6878,15.2,23.5,23071,47605,24534,0,0,0,0,15625,18584,2959,9.2,15625,18584,2959,9.2,,,,,,,,,
slovenia,2009,,,,,,60.5,66.2,54.4,3106,0,11508,14614,7.2,14816,18788,3972,9.2,19.4,21450,39690,18240,22973,30296,7323,14.8,19.4,21450,39690,18240,0,0,0,0,8157,11508,3351,5.6,8157,11508,3351,5.6,100,100,100,84.3,82.8,86.3,15.7,17.2,13.7
slovenia,2010,,,,,,58.8,64,53.2,3734,0,-521,3213,1.6,11586,15937,4351,7.8,21.3,23611,43581,19970,9841,15416,5575,7.5,21.3,23611,43581,19970,0,0,0,0,-1745,-521,1224,-0.3,-1745,-521,1224,-0.3,100,100,100,83.8,82.4,85.6,16.2,17.6,14.4
slovenia,2011,,,,,,58.1,62.8,53.1,3248,0,2059,5307,2.6,8151,12024,3873,5.9,22.2,25024,45628,20604,8317,14083,5766,6.9,22.2,25024,45628,20604,0,0,0,0,166,2059,1893,1,166,2059,1893,1,100,100,100,83.1,81.5,85.1,16.9,18.5,14.9
slovenia,2012,,,,,,57.4,61.6,52.8,2681,0,644,3325,1.6,8699,14378,5679,7,22.9,24988,47128,22140,9102,15022,5920,7.3,22.9,24988,47128,22140,0,0,0,0,403,644,241,0.3,403,644,241,0.3,100,100,100,83.1,81.5,85,16.9,18.5,15
slovenia,2013,,,,,,56.5,60.4,52.4,1777,0,487,2264,1.1,7902,13384,5482,6.5,23.1,24897,47570,22673,8465,13871,5406,6.7,23.1,24897,47570,22673,0,0,0,0,563,487,-76,0.2,563,487,-76,0.2,100,100,100,82.9,81.3,84.8,17.1,18.7,15.2
slovenia,2014,10795.26,7718.36,588.69,2083.43,404.78,57.2,61.6,52.6,2279,0,-490,1789,0.9,8609,14336,5727,7,23.4,24959,48152,23193,8242,13846,5604,6.7,23.4,24959,48152,23193,0,0,0,0,-367,-490,-123,-0.2,-367,-490,-123,-0.2,100,100,100,82.5,80.9,84.3,17.5,19.1,15.7
slovenia,2015,10964.02,7889.31,588.88,2093.21,392.62,58.2,62.4,53.7,807,0,507,1314,0.6,8976,14913,5937,7.2,23,24244,47405,23161,9215,15420,6205,7.5,23,24244,47405,23161,0,0,0,0,239,507,268,0.2,239,507,268,0.2,100,100,100,81.6,80.1,83.5,18.4,19.9,16.5
slovenia,2016,11357.06,8242.48,595.59,2129.05,389.93,59.6,63.3,55.6,656,0,1051,1707,0.8,9328,15572,6244,7.5,22.8,23945,47023,23078,10417,16623,6206,8.1,22.8,23945,47023,23078,0,0,0,0,1089,1051,-38,0.5,1089,1051,-38,0.5,100,100,100,81.2,79.7,83,18.8,20.3,17
slovenia,2017,11785.17,8614.54,601.83,2167.68,401.11,62.1,66.2,57.9,-268,0,1253,985,0.5,10694,17555,6861,8.5,22.8,24004,47195,23191,12264,18808,6544,9.1,22.8,24004,47195,23191,0,0,0,0,1570,1253,-317,0.6,1570,1253,-317,0.6,100,100,100,80.8,79.4,82.5,19.2,20.6,17.5
slovenia,2018,12461.89,9157.33,626.81,2231.27,446.48,64.5,68.4,60.3,-900,0,14928,14028,6.8,8521,13527,5006,6.5,20.5,22417,42465,20048,20086,28455,8369,13.7,20.5,22417,42465,20048,0,0,0,0,11565,14928,3363,7.2,11565,14928,3363,7.2,100,100,100,80.4,78.9,82.3,19.6,21.1,17.7
slovenia,2019,13298.38,9728.02,668.51,2302.78,599.08,66,69.9,61.7,-1260,0,16213,14953,7.2,9904,15106,5202,7.2,20.1,22786,42014,19228,22445,31319,8874,15,20.1,22786,42014,19228,0,0,0,0,12541,16213,3672,7.8,12541,16213,3672,7.8,100,100,100,80.2,78.7,82,19.8,21.3,18
slovenia,2020,13614.74,9996.25,727,2459.76,431.73,65.6,69.1,61.8,-5249,0,18365,13116,6.2,12225,17745,5520,8.4,30.8,34344,64619,30275,23137,36110,12973,17.2,30.8,34344,64619,30275,0,0,0,0,10912,18365,7453,8.7,10912,18365,7453,8.7,100,100,100,78.9,77.2,80.9,21.1,22.8,19.1
slovenia,2021,14663.73,10890.67,731.81,2595.6,445.64,66.7,70.3,62.8,-4277,0,2480,-1797,-0.9,14701,21144,6443,10,23.5,26218,49486,23268,14469,23624,9155,11.2,23.5,26218,49486,23268,0,0,0,0,-232,2480,2712,1.2,-232,2480,2712,1.2,100,100,100,78.1,76.2,80.3,21.9,23.8,19.7
slovenia,2022,15989.54,11763.5,771.25,2809.94,644.86,68.6,72.4,64.4,-4865,0,14657,9792,4.6,14233,20956,6723,9.9,27.7,30675,58488,27813,21886,35613,13727,16.9,27.7,30675,58488,27813,0,0,0,0,7653,14657,7004,7,7653,14657,7004,7,100,100,100,77.9,75.9,80.3,22.1,24.1,19.7
slovenia,2023,17603.4,13154.35,814.47,2968.95,665.63,69.3,73,65.2,-4551,0,11528,6977,3.3,14694,22411,7717,10.6,22.5,25326,47817,22491,22109,33939,11830,16,22.5,25326,47817,22491,0,0,0,0,7415,11528,4113,5.4,7415,11528,4113,5.4,100,100,100,77.6,75.5,80.1,22.4,24.5,19.9
slovenia,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,77.5,75.4,80,22.5,24.6,20
vzhodna slovenija,1993,,,,,,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vzhodna slovenija,1994,,,,,,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vzhodna slovenija,1995,,,,,,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vzhodna slovenija,1996,,,,,,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vzhodna slovenija,1997,,,,,,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vzhodna slovenija,1998,,,,,,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vzhodna slovenija,1999,,,,,,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vzhodna slovenija,2000,,,,,,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vzhodna slovenija,2001,,,,,,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vzhodna slovenija,2002,,,,,,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vzhodna slovenija,2003,,,,,,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vzhodna slovenija,2004,,,,,,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vzhodna slovenija,2005,,,,,,56,62,49.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vzhodna slovenija,2006,,,,,,56.7,62.9,50.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vzhodna slovenija,2007,,,,,,58.8,65.4,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vzhodna slovenija,2008,,,,,,60.7,67,53.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vzhodna slovenija,2009,,,,,,59.2,65.2,52.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vzhodna slovenija,2010,,,,,,57.3,62.8,51.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vzhodna slovenija,2011,,,,,,56.8,61.9,51.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vzhodna slovenija,2012,,,,,,56,60.6,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vzhodna slovenija,2013,,,,,,55.3,59.6,50.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vzhodna slovenija,2014,10129.87,7240.11,614.64,1984.65,290.48,56,60.9,50.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vzhodna slovenija,2015,10306.34,7415.48,620.12,2000.69,270.04,56.7,61.4,51.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vzhodna slovenija,2016,10721.01,7750.53,626.62,2049.05,294.81,57.7,61.8,53.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vzhodna slovenija,2017,11078.8,8075.36,633.9,2092.44,277.1,60.2,64.6,55.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vzhodna slovenija,2018,11711.17,8597.07,658.81,2162.08,293.21,62.6,66.6,58.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vzhodna slovenija,2019,12457.44,9116.02,705.59,2240.32,395.51,64.1,68.2,59.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vzhodna slovenija,2020,12900.41,9467.93,767.85,2415.83,248.8,63.9,67.4,60.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vzhodna slovenija,2021,13933.42,10331.03,766.82,2554.44,281.12,65.2,68.7,61.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vzhodna slovenija,2022,15150.63,11151.87,809.04,2765.03,424.7,67.2,70.9,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vzhodna slovenija,2023,16665.28,12438.56,853.65,2923.58,449.49,68,71.6,63.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zahodna slovenija,1993,,,,,,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zahodna slovenija,1994,,,,,,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zahodna slovenija,1995,,,,,,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zahodna slovenija,1996,,,,,,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zahodna slovenija,1997,,,,,,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zahodna slovenija,1998,,,,,,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zahodna slovenija,1999,,,,,,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zahodna slovenija,2000,,,,,,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zahodna slovenija,2001,,,,,,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zahodna slovenija,2002,,,,,,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zahodna slovenija,2003,,,,,,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zahodna slovenija,2004,,,,,,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zahodna slovenija,2005,,,,,,60,64.9,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zahodna slovenija,2006,,,,,,60.7,65.8,55.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zahodna slovenija,2007,,,,,,62.4,68,56.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zahodna slovenija,2008,,,,,,63.4,69.2,57.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zahodna slovenija,2009,,,,,,61.9,67.4,56.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zahodna slovenija,2010,,,,,,60.5,65.3,55.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zahodna slovenija,2011,,,,,,59.5,63.7,55.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zahodna slovenija,2012,,,,,,58.9,62.7,54.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zahodna slovenija,2013,,,,,,57.8,61.3,54.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zahodna slovenija,2014,11545.92,8257.89,559.41,2194.88,533.74,58.5,62.3,54.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zahodna slovenija,2015,11703.02,8421.73,553.77,2197.16,530.35,59.8,63.5,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zahodna slovenija,2016,12069.07,8793.19,560.85,2218.61,496.42,61.6,65.1,58.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zahodna slovenija,2017,12572.9,9215.83,566.08,2251.6,539.4,64.3,68,60.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zahodna slovenija,2018,13294.76,9778.91,591.32,2308.02,616.51,66.6,70.5,62.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zahodna slovenija,2019,14227.28,10404.03,627.54,2371.77,823.94,68.1,71.9,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zahodna slovenija,2020,14401.02,10577.79,682.04,2508.11,633.09,67.4,71,63.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zahodna slovenija,2021,15467.1,11506.3,693.3,2640.88,626.63,68.4,72.1,64.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zahodna slovenija,2022,16910.59,12435.01,729.76,2859.24,886.58,70.1,74.1,65.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zahodna slovenija,2023,18633.66,13940.45,771.44,3018.78,903,70.8,74.7,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zasavska,1993,,,,,,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zasavska,1994,,,,,,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zasavska,1995,,,,,,...,...,...,-115,-43,33,-125,-2.7,7,16,9,0.3,4,93,187,94,28,49,21,1,3.1,56,144,88,-37,-43,-6,-0.9,21,33,12,0.7,-16,-10,6,-0.2,,,,,,,,,
zasavska,1996,,,,,,...,...,...,-149,54,10,-85,-1.8,3,12,9,0.3,3.4,73,162,89,11,22,11,0.5,4.6,90,216,126,17,54,37,1.1,8,10,2,0.2,25,64,39,1.4,,,,,,,,,
zasavska,1997,,,,,,...,...,...,-118,66,8,-44,-0.9,9,11,2,0.2,3.7,87,175,88,9,19,10,0.4,5.1,118,241,123,31,66,35,1.4,0,8,8,0.2,31,74,43,1.6,,,,,,,,,
zasavska,1998,,,,,,...,...,...,-120,13,-6,-113,-2.4,84,119,35,2.6,4.7,94,218,124,72,113,41,2.4,5,102,231,129,8,13,5,0.3,-12,-6,6,-0.1,-4,7,11,0.2,,,,,,,,,
zasavska,1999,,,,,,...,...,...,-148,-3,29,-122,-2.6,37,55,18,1.2,4.6,106,213,107,67,84,17,1.8,4.5,92,210,118,-14,-3,11,-0.1,30,29,-1,0.6,16,26,10,0.6,,,,,,,,,
zasavska,2000,,,,,,...,...,...,-162,0,29,-133,-2.9,48,79,31,1.7,5.2,103,243,140,85,108,23,2.3,5.2,114,243,129,11,0,-11,0,37,29,-8,0.6,48,29,-19,0.6,,,,,,,,,
zasavska,2001,,,,,,...,...,...,-152,-73,70,-155,-3.4,60,92,32,2,6.2,129,288,159,126,162,36,3.5,4.7,112,215,103,-17,-73,-56,-1.6,66,70,4,1.5,49,-3,-52,-0.1,,,,,,,,,
zasavska,2002,,,,,,52.8,57.7,47.8,-145,-61,-1,-207,-4.5,122,217,95,4.7,5.7,121,265,144,156,216,60,4.7,4.4,98,204,106,-23,-61,-38,-1.3,34,-1,-35,0,11,-62,-73,-1.3,,,,,,,,,
zasavska,2003,,,,,,52.1,58,46,-145,-87,42,-190,-4.1,99,177,78,3.9,6.1,131,278,147,159,219,60,4.8,4.2,91,191,100,-40,-87,-47,-1.9,60,42,-18,0.9,20,-45,-65,-1,,,,,,,,,
zasavska,2004,,,,,,52.3,57.7,46.7,-135,-83,-26,-244,-5.3,160,183,23,4,5.9,115,268,153,117,157,40,3.4,4.1,95,185,90,-20,-83,-63,-1.8,-43,-26,17,-0.6,-63,-109,-46,-2.4,,,,,,,,,
zasavska,2005,,,,,,54.4,60.5,48,-188,-66,96,-158,-3.5,130,159,29,3.5,5.7,126,261,135,201,255,54,5.6,4.3,92,195,103,-34,-66,-32,-1.5,71,96,25,2.1,37,30,-7,0.7,,,,,,,,,
zasavska,2006,,,,,,55.4,61.6,48.9,-72,-87,10,-149,-3.3,157,178,21,3.9,8,179,364,185,144,188,44,4.1,6.1,123,277,154,-56,-87,-31,-1.9,-13,10,23,0.2,-69,-77,-8,-1.7,,,,,,,,,
zasavska,2007,,,,,,57.3,63.6,50.7,6,-118,102,-10,-0.2,122,201,79,4.4,8.4,192,381,189,227,303,76,6.7,5.8,126,263,137,-66,-118,-52,-2.6,105,102,-3,2.3,39,-16,-55,-0.4,,,,,,,,,
zasavska,2008,,,,,,59.3,65.2,53.2,-37,-205,242,0,0,90,134,44,3,24.8,574,1112,538,264,376,112,8.4,20.2,439,907,468,-135,-205,-70,-4.6,174,242,68,5.4,39,37,-2,0.8,,,,,,,,,
zasavska,2009,,,,,,57.8,62.7,52.6,13,-392,178,-201,-4.5,162,223,61,5,23.7,531,1060,529,300,401,101,9,14.9,376,668,292,-155,-392,-237,-8.8,138,178,40,4,-17,-214,-197,-4.8,71.3,70.3,72.5,61.3,59.5,63.5,38.7,40.5,36.5
zasavska,2010,,,,,,56.2,60,52.1,-70,-380,-42,-492,-11.1,152,229,77,5.1,25,593,1111,518,111,187,76,4.2,16.4,396,731,335,-197,-380,-183,-8.5,-41,-42,-1,-0.9,-238,-422,-184,-9.5,70.8,70.3,71.5,60.1,58.8,61.5,39.9,41.2,38.5
zasavska,2011,,,,,,55.2,58,52.2,-77,-211,-20,-308,-7,115,169,54,3.8,23.8,569,1049,480,89,149,60,3.4,19,477,838,361,-92,-211,-119,-4.8,-26,-20,6,-0.5,-118,-231,-113,-5.2,71.3,71,71.7,59.5,58.3,61,40.5,41.7,39
zasavska,2012,,,,,,54.8,57.4,52,-74,-356,1,-429,-9.8,100,169,69,3.9,28.5,655,1246,591,99,170,71,3.9,20.3,478,890,412,-177,-356,-179,-8.1,-1,1,2,0,-178,-355,-177,-8.1,69.6,69.3,70.1,59.1,57.7,60.7,40.9,42.3,39.3
zasavska,2013,,,,,,54.1,56.3,51.9,-106,-335,-76,-517,-11.9,125,221,96,5.1,27.4,609,1187,578,71,145,74,3.3,19.7,449,852,403,-160,-335,-175,-7.7,-54,-76,-22,-1.8,-214,-411,-197,-9.5,69.4,68.3,70.6,58.7,56.9,60.6,41.3,43.1,39.4
zasavska,2014,10392.21,7226.38,623.56,2316.21,226.05,54.2,56.4,51.8,-91,-155,-83,-329,-7.7,138,214,76,5,25.2,559,1078,519,67,131,64,3.1,21.6,460,923,463,-99,-155,-56,-3.6,-71,-83,-12,-1.9,-170,-238,-68,-5.6,67.8,66.4,69.4,57.4,55.1,59.9,42.6,44.9,40.1
zasavska,2015,10554.54,7386.53,628.62,2337.85,201.53,56.7,59.3,53.9,-61,-227,-25,-313,-5.4,141,271,130,4.7,27.5,778,1583,805,148,246,98,4.3,23.6,677,1356,679,-101,-227,-126,-3.9,7,-25,-32,-0.4,-94,-252,-158,-4.4,62.6,61.1,64.2,51.3,48.9,54.1,48.7,51.1,45.9
zasavska,2016,10994.38,7725.51,649.57,2363.27,256.03,58.1,60.5,55.6,-43,-17,-63,-123,-2.1,174,297,123,5.2,26.4,716,1519,803,142,234,92,4.1,26.1,730,1502,772,14,-17,-31,-0.3,-32,-63,-31,-1.1,-18,-80,-62,-1.4,60.8,58.9,62.9,49.7,47.2,52.6,50.3,52.8,47.4
zasavska,2017,11434.64,8174.86,628.2,2413.32,218.25,61,63.6,58.2,-65,-77,-84,-226,-3.9,211,363,152,6.3,27.2,779,1556,777,178,279,101,4.9,25.8,734,1479,745,-45,-77,-32,-1.3,-33,-84,-51,-1.5,-78,-161,-83,-2.8,59.8,58.1,61.7,48.5,46.2,51,51.5,53.8,49
zasavska,2018,12167.81,8749.09,645.96,2486.56,286.2,63.9,66.5,61.1,-116,-146,167,-95,-1.7,163,275,112,4.8,25.6,724,1463,739,291,442,151,7.7,23.1,672,1317,645,-52,-146,-94,-2.6,128,167,39,2.9,76,21,-55,0.4,59.2,57,61.7,48,45,51.2,52,55,48.8
zasavska,2019,12851.34,9361.69,672.63,2569.51,247.52,65.5,68.5,62.4,-160,-29,386,197,3.5,130,217,87,3.8,22.7,668,1297,629,416,603,187,10.6,22.2,669,1268,599,1,-29,-30,-0.5,286,386,100,6.8,287,357,70,6.3,59,57,61.3,47.5,44.7,50.6,52.5,55.3,49.4
zasavska,2020,13261.17,9535.16,728.97,2740.35,256.69,65.2,67.9,62.4,-243,-201,460,16,0.3,159,232,73,4.1,37.1,1096,2123,1027,429,692,263,12.1,33.6,1026,1922,896,-70,-201,-131,-3.5,270,460,190,8,200,259,59,4.5,59.8,58.3,61.5,46.9,44.5,49.6,53.1,55.5,50.4
zasavska,2021,14140.66,10345.79,727.99,2877.4,189.48,66.1,68.7,63.3,-287,-183,146,-324,-5.7,199,280,81,4.9,26.9,797,1532,735,261,426,165,7.5,23.7,732,1349,617,-65,-183,-118,-3.2,62,146,84,2.6,-3,-37,-34,-0.7,60.7,59.4,62.2,46.7,44.4,49.4,53.3,55.6,50.6
zasavska,2022,15453.36,11227.52,777.06,3118.36,330.42,68.2,70.9,65.3,-272,148,332,208,3.7,215,325,110,5.7,33.2,988,1892,904,407,657,250,11.5,35.8,1089,2040,951,101,148,47,2.6,192,332,140,5.8,293,480,187,8.4,60.8,59.6,62.2,46.9,44.4,49.8,53.1,55.6,50.2
zasavska,2023,17157.46,12700.31,808.06,3290.92,358.17,69.4,72.1,66.4,-206,62,285,141,2.5,262,386,124,6.7,26.2,797,1503,706,435,671,236,11.7,27.3,839,1565,726,42,62,20,1.1,173,285,112,5,215,347,132,6.1,60.9,60,62,46.7,44.1,49.7,53.3,55.9,50.3
zasavska,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,60.3,61.8,46.5,43.8,49.7,53.5,56.2,50.3
